,Classes,Old Price,Price Change,New Price,date_range
20,Changan Eado A/T / L2 2022,"380,000 EGP","trending_up +30,000 EGP","410,000 EGP",1/18/2023
21,Changan Eado A/T / L1 2022,"360,000 EGP","trending_up +25,000 EGP","385,000 EGP",1/18/2023
22,Changan Alsvin A/T / L2 2022,"350,000 EGP","trending_up +25,000 EGP","375,000 EGP",1/18/2023
23,Changan Alsvin A/T / L1 2022,"330,000 EGP","trending_up +25,000 EGP","355,000 EGP",1/18/2023
24,Changan Alsvin MT‏ / L1 2022,"299,900 EGP","trending_up +20,100 EGP","320,000 EGP",1/18/2023
25,Toyota Fortuner A/T / Sport 2023,"1,840,000 EGP","trending_up +150,000 EGP","1,990,000 EGP",1/17/2023
26,Toyota Fortuner Automtic / ELEGANCE 2023,"1,740,000 EGP","trending_up +150,000 EGP","1,890,000 EGP",1/17/2023
27,Toyota Fortuner A/T / SMART 2023,"1,590,000 EGP","trending_up +150,000 EGP","1,740,000 EGP",1/17/2023
28,Toyota C-HR Automtic 2023,"740,000 EGP","trending_up +100,000 EGP","840,000 EGP",1/17/2023
29,Toyota Rumion A/T / GLX 2023,"525,000 EGP","trending_up +40,000 EGP","565,000 EGP",1/17/2023
30,Toyota Rumion A/T / GL 2023,"490,000 EGP","trending_up +35,000 EGP","525,000 EGP",1/17/2023
31,Toyota Belta A/T / Smart 2023,"510,000 EGP","trending_up +35,000 EGP","545,000 EGP",1/17/2023
32,Toyota Belta A/T / Active 2023,"460,000 EGP","trending_up +30,000 EGP","490,000 EGP",1/17/2023
33,Toyota Corolla Automatic / Elgance 2023,"784,000 EGP","trending_up +50,000 EGP","834,000 EGP",1/17/2023
34,Toyota Corolla Automtic / GR 2023,"750,000 EGP","trending_up +50,000 EGP","800,000 EGP",1/17/2023
35,Toyota Corolla A/T / High Line / Hybrid 2023,"975,000 EGP","trending_up +150,000 EGP","1,125,000 EGP",1/17/2023
36,Toyota Corolla Automatic / SMART / Sun Roof 2023,"720,000 EGP","trending_up +50,000 EGP","770,000 EGP",1/17/2023
37,Toyota Corolla Automtic / SMART 2023,"700,000 EGP","trending_up +50,000 EGP","750,000 EGP",1/17/2023
38,Toyota Corolla Automatic / Comfort 2023,"670,000 EGP","trending_up +50,000 EGP","720,000 EGP",1/17/2023
39,Toyota Corolla Automatic / Active 2023,"625,000 EGP","trending_up +50,000 EGP","675,000 EGP",1/17/2023
40,Toyota Corolla Manual‏ / Active 2023,"590,000 EGP","trending_up +50,000 EGP","640,000 EGP",1/17/2023
41,Mercedes GLC 300 Automtic / coupe / AMG 2022,"2,974,000 EGP","trending_up +1,076,000 EGP","4,050,000 EGP",1/17/2023
42,Mercedes GLC 300 Automtic 2022,"2,240,000 EGP","trending_up +815,000 EGP","3,055,000 EGP",1/17/2023
43,Mercedes GLC 200 Automtic / Stander 2022,"1,674,000 EGP","trending_up +201,000 EGP","1,875,000 EGP",1/17/2023
44,Skoda Superb A/T / SPORT LINE 2022,"1,300,004 EGP","trending_up +99,996 EGP","1,400,000 EGP",1/17/2023
45,Skoda Superb A/T / Ambition 2022,"1,250,000 EGP","trending_up +100,000 EGP","1,350,000 EGP",1/17/2023
46,Skoda Superb A/T / Dynamic 2022,"1,075,000 EGP","trending_up +100,000 EGP","1,175,000 EGP",1/17/2023
47,Skoda Karoq A/T / Style 2022,"1,175,000 EGP","trending_up +100,000 EGP","1,275,000 EGP",1/17/2023
48,Skoda Karoq A/T / Ambition 2022,"1,075,000 EGP","trending_up +100,000 EGP","1,175,000 EGP",1/17/2023
49,Skoda Karoq A/T / Dynamic 2022,"990,000 EGP","trending_up +60,000 EGP","1,050,000 EGP",1/17/2023
50,Skoda Kodiaq A/T / L&K 2022,"1,650,000 EGP","trending_up +75,000 EGP","1,725,000 EGP",1/17/2023
51,Skoda Kodiaq A/T / L&K 2022,"1,625,000 EGP","trending_up +25,000 EGP","1,650,000 EGP",1/17/2023
52,Skoda Kodiaq A/T / Style 2022,"1,500,000 EGP","trending_up +100,000 EGP","1,600,000 EGP",1/17/2023
53,Skoda Kodiaq A/T / Ambition 2022,"1,400,000 EGP","trending_up +100,000 EGP","1,500,000 EGP",1/17/2023
54,Skoda Kodiaq A/T / Dynamic 2022,"1,300,000 EGP","trending_up +100,000 EGP","1,400,000 EGP",1/17/2023
55,Skoda Octavia A8 Automtic / RS 2022,"1,400,000 EGP","trending_up +100,000 EGP","1,500,000 EGP",1/17/2023
56,Skoda Octavia A8 A/T / Style Plus 2022,"1,075,000 EGP","trending_up +100,000 EGP","1,175,000 EGP",1/17/2023
57,Skoda Octavia A8 A/T / Style 2022,"1,000,000 EGP","trending_up +100,000 EGP","1,100,000 EGP",1/17/2023
58,Skoda Octavia A8 A/T / Ambition 2022,"900,000 EGP","trending_up +80,000 EGP","980,000 EGP",1/17/2023
59,Baic X7 A/T / Elite 2022,"990,000 EGP","trending_up +120,000 EGP","1,110,000 EGP",1/16/2023
60,Baic X7 A/T / Premium 2022,"720,000 EGP","trending_up +89,000 EGP","809,000 EGP",1/16/2023
61,Baic X3 A/T / Luxury 2022,"469,000 EGP","trending_up +20,000 EGP","489,000 EGP",1/16/2023
62,Baic X3 A/T / Comfort 2022,"419,000 EGP","trending_up +40,000 EGP","459,000 EGP",1/16/2023
63,Baic X7 A/T / Premium 2023,"1,150,000 EGP","trending_up +49,000 EGP","1,199,000 EGP",1/16/2023
64,Baic X3 A/T / Luxury 2023,"469,000 EGP","trending_up +130,000 EGP","599,000 EGP",1/16/2023
65,Baic X3 A/T / Comfort 2023,"439,000 EGP","trending_up +40,000 EGP","479,000 EGP",1/16/2023
66,Mercedes S 450 A/T / LONG EXECUTIVE 2022,"4,450,000 EGP","trending_up +1,400,000 EGP","5,850,000 EGP",1/16/2023
67,Mercedes Maybach Automtic 2022,"7,630,000 EGP","trending_up +2,369,000 EGP","9,999,000 EGP",1/16/2023
68,Mercedes S 450 A/T / LONG EXECUTIVE 2022,"4,540,000 EGP","trending_up  +5,459,000 EGP","9,999,000 EGP",1/16/2023
69,Mercedes AMG GT A/T / 53 4M+4DOOR COUPE AMG 2022,"4,920,000 EGP","trending_up +1,795,000 EGP","6,715,000 EGP",1/16/2023
70,Mercedes AMG GT A/T / 43-DOOR COUPE 2022,"3,920,000 EGP","trending_up +1,430,000 EGP","5,350,000 EGP",1/16/2023
71,Mercedes GLS A/T / 580 class 2022,"3,599,000 EGP","trending_up +861,000 EGP","4,460,000 EGP",1/16/2023
72,Mercedes GLE A/T / 450 4MATIC 2022,"2,730,000 EGP","trending_up +1,170,000 EGP","3,900,000 EGP",1/16/2023
73,Mercedes GLA A/T / 200 Progressive 2022,"1,190,000 EGP","trending_up +430,000 EGP","1,620,000 EGP",1/16/2023
74,Mercedes G Class A/T / AMG G 63 / NIGHT EDITION 2022,"6,475,000 EGP","trending_up +1,275,000 EGP","7,750,000 EGP",1/16/2023
75,Mercedes G Class A/T / 500 2022,"4,849,000  EGP","trending_up +651,000 EGP","5,500,000 EGP",1/16/2023
76,Mercedes E 53 AMG A/T / AMG 2022,"3,740,000 EGP","trending_up +1,360,000 EGP","5,100,000 EGP",1/16/2023
77,Mercedes E 300 A/T / EXCLUSIVE 2022,"2,264,000 EGP","trending_up +636,000 EGP","2,900,000 EGP",1/16/2023
78,Mercedes E 200 A/T / AMG 2022,"2,094,000 EGP","trending_up +1,656,000 EGP","3,750,000 EGP",1/16/2023
79,Mercedes E 200 A/T / Cabrio AMG 2022,"2,165,000 EGP","trending_up +785,000 EGP","2,950,000 EGP",1/16/2023
80,Mercedes E 200 A/T / Coupe AMG 2022,"1,995,000 EGP","trending_up +725,000 EGP","2,720,000 EGP",1/16/2023
81,Mercedes E 200 A/T / AVANTGARDE 2022,"1,935,000 EGP","trending_up +575,000 EGP","2,510,000 EGP",1/16/2023
82,Mercedes E 200 A/T / PREMIUM 2022,"1,724,000 EGP","trending_up +511,000 EGP","2,235,000 EGP",1/16/2023
83,Mercedes CLS Class A/T / (350) coupe 2022,"2,475,000 EGP","trending_up +900,000 EGP","3,375,000 EGP",1/16/2023
84,Mercedes CLA 200 A/T / Coupe Progressive 2022,"1,144,000 EGP","trending_up +411,000 EGP","1,555,000 EGP",1/16/2023
85,Mercedes C 200 A/T / Sport 2022,"1,590,000 EGP","trending_up  +470,000 EGP","2,060,000 EGP",1/16/2023
86,Mercedes C 180 A/T / Sport 2022,"1,369,000 EGP","trending_up +381,000 EGP","1,750,000 EGP",1/16/2023
87,Mercedes C 180 A/T / Avantgarde plus 2022,"1,339,000 EGP","trending_up +396,000 EGP","1,735,000 EGP",1/16/2023
88,Mercedes A Class A/T / AMG A35 4M HATCHBACK 2022,"1,575,000 EGP","trending_up +575,000 EGP","2,150,000 EGP",1/16/2023
89,Mercedes A 200 A/T / PROGRESSIVE 2022,"984,000 EGP","trending_up +291,000 EGP","1,275,000 EGP",1/16/2023
90,Mercedes B 200 A/T / SPORTS TOURER 2022,"984,000 EGP","trending_up +691,000 EGP","1,675,000 EGP",1/16/2023
91,Opel Mokka A/T / GS Line 2023,"799,990 EGP","trending_up +100,000 EGP","899,990 EGP",1/16/2023
92,Opel Mokka A/T / Elegance 2023,"759,990 EGP","trending_up +100,000 EGP","859,990 EGP",1/16/2023
93,Opel Crossland A/T / Top Line 2023,"669,990 EGP","trending_up +90,000 EGP","759,990 EGP",1/16/2023
94,Opel Crossland A/T / Elegance 2023,"629,990 EGP","trending_up +70,000 EGP","699,990 EGP",1/16/2023
95,Opel Corsa A/T / Top line Plus 2023,"639,990 EGP","trending_up +80,000 EGP","719,990 EGP",1/16/2023
96,Opel Corsa A/T / Elegance 2023,"599,990 EGP","trending_up +80,000 EGP","679,990 EGP",1/16/2023
97,Chevrolet Captiva Automtic / premire (7seats) 2022,"659,990 EGP","trending_up +255,000 EGP","914,990 EGP",1/16/2023
98,Chevrolet Captiva Automtic / Premier 2022,"639,990 EGP","trending_up +255,000 EGP","894,990 EGP",1/16/2023
99,Chevrolet Captiva Automtic / LT 2022,"599,990 EGP","trending_up +245,000 EGP","844,990 EGP",1/16/2023
100,Chevrolet Captiva Automtic / LS 2022,"579,990 EGP","trending_up +245,000 EGP","824,990 EGP",1/16/2023
101,Chevrolet Optra A/T / Highline 2023,"358,500 EGP","trending_up +95,500 EGP","454,000 EGP",1/16/2023
102,Mitsubishi Eclipse Cross A/T / GLX 4WD 2023,"790,000 EGP","trending_up +80,000 EGP","870,000 EGP",1/16/2023
103,Mitsubishi Eclipse Cross A/T / Instyle GLS 2023,"750,000 EGP","trending_up +80,000 EGP","830,000 EGP",1/16/2023
104,Mitsubishi Eclipse Cross A/T / Inspire GLS 2023,"710,000 EGP","trending_up +80,000 EGP","790,000 EGP",1/16/2023
105,Mitsubishi Eclipse Cross A/T / Insport GLX 2023,"650,000 EGP","trending_up +70,000 EGP","720,000 EGP",1/16/2023
106,Mitsubishi Xpander Automatic / HL 2023,"580,000 EGP","trending_up +80,000 EGP","660,000 EGP",1/16/2023
107,Mitsubishi Xpander Automatic / Midline 2023,"550,000 EGP","trending_up +80,000 EGP","630,000 EGP",1/16/2023
108,Mitsubishi Mirage A/T / Highline 2023,"365,000 EGP","trending_up +30,000 EGP","395,000 EGP",1/16/2023
109,Mitsubishi Attrage A/T / Highline 2023,"350,000 EGP","trending_up +30,000 EGP","380,000 EGP",1/16/2023
110,Chery Tiggo 7 A/T / Highline 2023,"599,000 EGP","trending_up +41,000 EGP","640,000 EGP",1/15/2023
111,Chery Tiggo 7 A/T / Baseline 2023,"550,000 EGP","trending_up +40,000 EGP","590,000 EGP",1/15/2023
112,Chery Tiggo 3 Automtic / Tinted Glass 2023,"475,000 EGP","trending_up +34,000 EGP","509,000 EGP",1/15/2023
113,Chery Tiggo 8 Pro AT-6DCT COMFORT 2023,"870,000 EGP","trending_up +35,000 EGP","905,000 EGP",1/15/2023
114,Chery Arrizo 5 AT / HIGHLINE 2023,"399,900 EGP","trending_up +30,100 EGP","430,000 EGP",1/15/2023
115,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"375,900 EGP","trending_up +29,100 EGP","405,000 EGP",1/15/2023
116,Chery Arrizo 5 Manual / Base Line / Leather 2023,"339,900 EGP","trending_up +25,100 EGP","365,000 EGP",1/15/2023
117,Chery Tiggo 8 Pro Automatic / Flagship 2022,"995,000 EGP","trending_up +40,000 EGP","1,035,000 EGP",1/15/2023
118,Chery Tiggo 8 Pro A/T / Luxury 2022,"945,000 EGP","trending_up +40,000 EGP","985,000 EGP",1/15/2023
119,Chery Tiggo 8 Pro A/T / comfort 2022,"865,000 EGP","trending_up +35,000 EGP","900,000 EGP",1/15/2023
120,Chery Tiggo 7 pro A/T / Luxury 2022,"800,000 EGP","trending_up +35,000 EGP","835,000 EGP",1/15/2023
121,Chery Tiggo 7 pro A/T / Comfort 2022,"745,000 EGP","trending_up +30,000 EGP","775,000 EGP",1/15/2023
122,Chery Arrizo 5 AT / HIGHLINE 2022,"328,000 EGP","trending_up +67,000 EGP","395,000 EGP",1/15/2023
123,Chery Arrizo 5 AT / BASELINE Leather 2022,"369,900 EGP","trending_up +1,100 EGP","371,000 EGP",1/15/2023
124,Chery Arrizo 5 Manual / Base Line / Leather 2022,"311,900 EGP","trending_up +25,100 EGP","337,000 EGP",1/15/2023
125,Chery Tiggo 3 Automtic 2022,"437,000 EGP","trending_up +34,000 EGP","471,000 EGP",1/15/2023
126,Chery Tiggo 7 A/T / Highline 2022,"549,000 EGP","trending_up +41,000 EGP","590,000 EGP",1/15/2023
127,Chery Tiggo 7 A/T / Baseline 2022,"509,000 EGP","trending_up +40,000 EGP","549,000 EGP",1/15/2023
128,MG HS Automatic / LFC Edition 2022,"810,000 EGP","trending_up +49,990 EGP","859,990 EGP",1/15/2023
129,MG HS A/T / Luxury Brown Interior 2022,"800,000 EGP","trending_up +49,990 EGP","849,990 EGP",1/15/2023
130,MG HS A/T / Luxury Black Interior 2022,"790,000 EGP","trending_up +49,990 EGP","839,990 EGP",1/15/2023
131,MG 6 A/T / LUX / Red Interior) 2022,"660,000 EGP","trending_up +59,990 EGP","719,990 EGP",1/15/2023
132,MG 6 A/T / LUX / Black interior 2022,"650,000 EGP","trending_up +59,990 EGP","709,990 EGP",1/15/2023
133,MG 6 A/T / Comfort 2022,"620,000 EGP","trending_up +49,990 EGP","669,990 EGP",1/15/2023
134,MG Rx5 A/T / Luxury 2022,"720,000 EGP","trending_up +29,990 EGP","749,990 EGP",1/15/2023
135,MG Rx5 A/T / Comfort 2022,"690,000 EGP","trending_up +19,990 EGP","709,990 EGP",1/15/2023
136,MG ZS Automatic / Luxury 2022,"580,000 EGP","trending_up +39,990 EGP","619,990 EGP",1/15/2023
137,MG ZS Automatic / Comfort 2022,"560,000 EGP","trending_up +139,990 EGP","699,990 EGP",1/15/2023
138,MG ZS Automatic / Classic 2022,"540,000 EGP","trending_up +39,990 EGP","579,990 EGP",1/15/2023
139,MG 5 A/T / Luxury 2022,"515,000 EGP","trending_up +44,990 EGP","559,990 EGP",1/15/2023
140,MG 5 A/T / Comfort 2022,"490,000 EGP","trending_up +39,990 EGP","529,990 EGP",1/15/2023
141,MG 5 A/T / Standard 2022,"460,000 EGP","trending_up +39,990 EGP","499,990 EGP",1/15/2023
142,Haval H6 A/T / High Deluxe 2022,"975,000  EGP","trending_up +50,000 EGP","1,025,000 EGP",1/15/2023
143,Haval H6 A/T / Deluxe SR 2022,"925,000 EGP","trending_up +25,000 EGP","950,000 EGP",1/15/2023
144,Haval H6 A/T / Deluxe 2022,"875,000 EGP","trending_up +40,000 EGP","915,000 EGP",1/15/2023
145,Haval H6 A/T / Standard 2022,"825,000 EGP","trending_up +35,000 EGP","860,000  EGP",1/15/2023
146,Haval Jolion A/T / High Deluxe 2022,"815,000 EGP","trending_up +15,000 EGP","830,000 EGP",1/15/2023
147,Haval Jolion A/T / Deluxe SR 2022,"780,000 EGP","trending_up +20,000 EGP","800,000 EGP",1/15/2023
148,Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2023,"540,000 EGP","trending_up +39,000 EGP","579,000 EGP",1/15/2023
149,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2023,"530,000 EGP","trending_up +39,000 EGP","569,000 EGP",1/15/2023
150,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2023,"520,000 EGP","trending_up +35,000 EGP","555,000 EGP",1/15/2023
151,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2023,"510,000 EGP","trending_up +35,000 EGP","545,000 EGP",1/15/2023
152,Hyundai Accent RB A/T / Highline TINTED GLASS 2023,"455,000 EGP","trending_up +34,000 EGP","489,000 EGP",1/15/2023
153,Hyundai Accent RB A/T / DAB ABS PLUS TINTED GLASS 2023,"445,000 EGP","trending_up +34,000 EGP","479,000 EGP",1/15/2023
154,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2023,"435,000 EGP","trending_up +30,000 EGP","465,000 EGP",1/15/2023
155,Hyundai Accent RB A/T / SR TINTED GLASS 2023,"420,000 EGP","trending_up +30,000 EGP","450,000 EGP",1/15/2023
156,Hyundai Accent RB A/T / TINTED GLASS 2023,"410,000 EGP","trending_up +30,000 EGP","440,000 EGP",1/15/2023
157,Hyundai Bayon A/T / Ultimate 2022,"760,000 EGP","trending_up +55,000 EGP","815,000 EGP",1/15/2023
158,Hyundai Bayon A/T / Elite 2022,"725,000 EGP","trending_up +55,000 EGP","780,000 EGP",1/15/2023
159,Hyundai Bayon A/T / Dynamic 2022,"685,000 EGP","trending_up +50,000 EGP","735,000 EGP",1/15/2023
160,Hyundai Bayon AT / Spirit 2022,"635,000 EGP","trending_up +45,000 EGP","680,000 EGP",1/15/2023
161,Hyundai Accent HCI A/T / Smart Plus 2022,"585,000 EGP","trending_up +45,000 EGP","630,000 EGP",1/15/2023
162,Hyundai Accent HCI A/T / SMART FUN 2022,"565,000 EGP","trending_up +40,000 EGP","605,000 EGP",1/15/2023
163,Hyundai Accent HCI A/T / Smart Safety 2022,"545,000 EGP","trending_up +40,000 EGP","585,000 EGP",1/15/2023
164,Hyundai Tucson A/T / Smart 2022,"915,000 EGP","trending_up +65,000 EGP","980,000 EGP",1/15/2023
165,Changan CS55 Plus A/T / Flagship 2022,"800,000 EGP","trending_up +80,000 EGP","880,000 EGP",1/15/2023
166,Changan CS55 Plus A/T / Premium 2022,"760,000 EGP","trending_up +80,000 EGP","840,000 EGP",1/15/2023
167,Changan CS55 Plus A/T / Elite 2022,"715,000 EGP","trending_up +60,000 EGP","775,000 EGP",1/15/2023
168,Changan CS 35 Plus A/T / FLAGSHIP 2022,"660,000 EGP","trending_up +100,000 EGP","760,000 EGP",1/15/2023
169,Changan CS 35 Plus A/T / PREMIUM 2022,"625,000 EGP","trending_up +85,000 EGP","710,000 EGP",1/15/2023
170,Changan CS 35 Plus A/T / ELITE 2022,"599,000 EGP","trending_up +61,000 EGP","660,000 EGP",1/15/2023
171,Changan CS 15 A/T / L2 2022,"400,000 EGP","trending_up +35,000  EGP","435,000 EGP",1/15/2023
172,Changan CS 15 A/T / L1 2022,"380,000 EGP","trending_up +30,000 EGP","410,000 EGP",1/15/2023
173,Changan Eado A/T / L2 2022,"350,000 EGP","trending_up +30,000 EGP","380,000 EGP",1/15/2023
174,Changan Eado A/T / L1 2022,"340,000 EGP","trending_up +20,000 EGP","360,000 EGP",1/15/2023
175,Changan Alsvin A/T / L2 2022,"325,000 EGP","trending_up +25,000 EGP","350,000 EGP",1/15/2023
176,Changan Alsvin A/T / L1 2022,"305,000 EGP","trending_up +25,000 EGP","330,000 EGP",1/15/2023
177,Changan Alsvin MT‏ / L1 2022,"275,000 EGP","trending_up +24,900 EGP","299,900 EGP",1/15/2023
178,Subaru XV A/T / Luxury 2022,"770,000 EGP","trending_up +169,000 EGP","939,000 EGP",1/15/2023
179,Subaru XV A/T / Premium 2022,"700,000 EGP","trending_up +149,000 EGP","849,000 EGP",1/15/2023
180,Subaru XV A/T / Full Option 2022,"650,000 EGP","trending_up +119,000 EGP","769,000 EGP",1/15/2023
181,Subaru Impreza A/T 2022,"499,000 EGP","trending_up +171,000 EGP","670,000 EGP",1/15/2023
182,DFSK 330S M/T / TOPLINE / gas 2022,"442,000 EGP","trending_up +19,900 EGP","461,900 EGP",1/15/2023
183,DFSK 330S M/T/ Highline / gas 2022,"417,000 EGP","trending_up  +19,900 EGP","436,900 EGP",1/15/2023
184,DFSK 330S M/T / TOPLINE 2022,"430,000 EGP","trending_up +19,900 EGP","449,900 EGP",1/15/2023
185,DFSK 330S M/T Highline 2022,"405,000 EGP","trending_up +19,900 EGP","424,900 EGP",1/15/2023
186,DFSK 330S manual‏ / High line 2022,"375,000 EGP","trending_up +19,900 EGP","394,900 EGP",1/15/2023
187,DFSK Eagle pro Automtic / red interior 2022,"749,999 EGP","trending_up +49,901 EGP","799,900 EGP",1/15/2023
188,DFSK Eagle pro Automtic / Black interior 2022,"745,000 EGP","trending_up +49,900 EGP","794,900 EGP",1/15/2023
189,Byd F3 Automtic / Full Option 2023,"355,000 EGP","trending_up +30,000 EGP","385,000 EGP",1/14/2023
190,Byd F3 Manual 2023,"310,000 EGP","trending_up +30,000 EGP","340,000 EGP",1/14/2023
191,Byd L3 Automatic 2023,"285,000 EGP","trending_up +120,000 EGP","405,000 EGP",1/14/2023
192,Proton Saga A/T / Premium 2022,"305,000 EGP","trending_up +65,000 EGP","370,000 EGP",1/14/2023
193,Proton Saga A/T / Standard 2022,"280,000 EGP","trending_up +70,000 EGP","350,000 EGP",1/14/2023
194,Lada Granta A/T / E1 2023,"245,000 EGP","trending_up +60,000 EGP","305,000 EGP",1/14/2023
195,Lada Granta manual‏ / salon 2023,"215,000 EGP","trending_up +70,000 EGP","285,000 EGP",1/14/2023
196,Nissan Sentra Automatic / upper 2023,"484,500 EGP","trending_up +90,000 EGP","574,500 EGP",1/14/2023
197,Nissan Sunny A/T / Super Saloon 2023,"406,000 EGP","trending_up +35,000 EGP","441,000 EGP",1/14/2023
198,Nissan Sunny A/T / plus 2023,"392,000 EGP","trending_up +35,000 EGP","427,000 EGP",1/14/2023
199,Nissan Sunny Automatic / Baseline 2023,"371,500 EGP","trending_up +35,000 EGP","406,500 EGP",1/14/2023
200,Nissan Sunny Manual‏ / Baseline 2023,"340,400 EGP","trending_up +35,000 EGP","375,400 EGP",1/14/2023
201,Geely Okavango A/T / Premium 2022,"829,000 EGP","trending_up +100,000 EGP","929,000 EGP",1/14/2023
202,Geely Cool Ray A/T / Premium / black 2022,"649,000 EGP","trending_up +80,000 EGP","729,000 EGP",1/14/2023
203,Geely Cool Ray A/T / Premium 2022,"639,000 EGP","trending_up +80,000 EGP","719,000 EGP",1/14/2023
204,Geely Cool Ray A/T / Comfort 2022,"569,000 EGP","trending_up +60,000 EGP","629,000 EGP",1/14/2023
205,Renault Megane A/T / Signature + Turbo 2022,"736,000 EGP","trending_up +72,000 EGP","808,000 EGP",1/13/2023
206,Renault Megane A/T / Signature Turbo 2022,"686,000 EGP","trending_up +82,000 EGP","768,000 EGP",1/13/2023
207,Renault Megane Automatic / Signature 2022,"768,000 EGP","trending_down -70,000 EGP","698,000 EGP",1/13/2023
208,Renault Megane Automatic / Signature 2022,"698,000 EGP","trending_up +70,000 EGP","768,000 EGP",1/13/2023
209,Renault Megane A/T / IntenseTurbo 2022,"676,000 EGP","trending_up +64,000 EGP","740,000 EGP",1/13/2023
210,Renault Megane A/T / Dynamic Turbo 2022,"645,000 EGP","trending_up +65,000 EGP","710,000 EGP",1/13/2023
211,Renault Megane A/T / Dynamic 2022,"605,000 EGP","trending_up +59,000 EGP","664,000 EGP",1/13/2023
212,Renault Megane A/T / Vision 2022,"554,000 EGP","trending_up +60,000 EGP","614,000 EGP",1/13/2023
213,Renault Megane Automatic / Signature 2022,"635,000 EGP","trending_up +63,000 EGP","698,000 EGP",1/13/2023
214,Renault Sandero Step Way A/T / SW NAV 2022,"434,000 EGP","trending_up +30,000 EGP","464,000 EGP",1/13/2023
215,Renault Sandero Step Way A/T / SW 2022,"424,000 EGP","trending_up +30,000 EGP","454,000 EGP",1/13/2023
216,Renault Sandero A/T / B1 2022,"404,000 EGP","trending_up +30,000 EGP","434,000 EGP",1/13/2023
217,Renault Logan A/T / E3 / Black Edtion 2022,"404,000 EGP","trending_up +41,000 EGP","445,000 EGP",1/13/2023
218,Renault Logan A/T / E3 2022,"394,000 EGP","trending_up +41,000 EGP","435,000 EGP",1/13/2023
219,Renault Logan A/T / E2 2022,"384,000 EGP","trending_up +41,000 EGP","425,000 EGP",1/13/2023
220,Renault Logan A/T / E1 2022,"374,000 EGP","trending_up +41,000 EGP","415,000 EGP",1/13/2023
221,Dongfeng Venucia Star Automtic 2023,"915,000 EGP","trending_up +60,000 EGP","975,000 EGP",1/12/2023
222,Ford EcoSport A/T / Sport plus 2022,"595,000 EGP","trending_up +15,000 EGP","610,000 EGP",1/12/2023
223,Ford EcoSport A/T / Trend plus 2022,"530,000 EGP","trending_up +15,000 EGP","545,000 EGP",1/12/2023
224,DFSK 330S M/T / TOPLINE / gas 2022,"411,999 EGP","trending_up +30,001 EGP","442,000 EGP",1/11/2023
225,DFSK 330S M/T / TOPLINE 2022,"399,999 EGP","trending_up +30,001 EGP","430,000 EGP",1/11/2023
