,symbol,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta,errors
25,AVGO,Broadcom Inc. Common Stock,598.05,+5.29,(+0.89%),Technology,Semiconductors,"240,608,259,104","1,401,033",$17.54,$16.40,"Mar 31, 2022",2.89%,1,False
27,COST,Costco Wholesale Corporation Common Stock,537.825,-4.495,(-0.83%),Consumer Services,Department/Specialty Retail Stores,"236,852,412,212","1,935,283",$12.41,$3.16,"Feb 18, 2022",0.6%,0.66,False
28,BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,103.29,+26.53,(+34.56%),Consumer Services,Catalog/Specialty Distribution,"263,482,500,000","119,603,599",$3.73,N/A,N/A,N/A,0.88,False
29,NVO,Novo Nordisk A/S Common Stock,105.475,+3.025,(+2.95%),Health Care,Biotechnology: Pharmaceutical Preparations,"237,380,319,925","827,256",$3.30,$1.483,"Apr 5, 2022",0.76%,0.49,False
30,CSCO,"Cisco Systems, Inc. Common Stock",55.29,-0.31,(-0.56%),Technology,Computer peripheral equipment,"228,583,094,200","11,313,582",$2.80,$1.52,"Apr 27, 2022",2.73%,0.97,False
31,VZ,Verizon Communications Inc. Common Stock,52.125,-0.635,(-1.20%),Public Utilities,Telecommunications Equipment,"219,147,384,275","16,817,403",$5.33,$2.56,"May 2, 2022",4.88%,0.4,False
32,TM,Toyota Motor Corporation Common Stock,170.77,+4.84,(+2.92%),Capital Goods,Auto Manufacturing,"233,295,470,077","273,447",$20.17,$3.726,"Dec 6, 2021",2.31%,0.48,False
33,PEP,"PepsiCo, Inc. Common Stock",158.24,-0.76,(-0.48%),Consumer Non-Durables,Beverages (Production/Distribution),"218,668,328,284","2,913,619",$5.49,$4.30,"Mar 31, 2022",2.76%,0.64,False
34,NTES,"NetEase, Inc. American Depositary Shares",92.89,+18.65,(+25.12%),Miscellaneous,Business Services,19.13,"5,001,768","Mar 10, 2022","Mar 25, 2022",0.51,"Dec 5, 2019",$3.45,False
35,ORCL,Oracle Corporation Common Stock,79.22,-1.38,(-1.71%),Technology,Computer Software: Prepackaged Software,"208,503,128,765","7,944,268",$2.61,$1.28,"Apr 21, 2022",1.66%,0.83,False
36,TMO,Thermo Fisher Scientific Inc Common Stock,556.88,+6.24,(+1.13%),Capital Goods,Biotechnology: Laboratory Analytical Instruments,"216,113,893,337","906,115",$19.45,$1.20,"Apr 14, 2022",0.19%,0.82,False
37,CMCSA,Comcast Corporation Class A Common Stock,45.6,+0.06,(+0.13%),Consumer Services,Television Services,"206,035,318,271","10,650,759",$3.03,$1.08,"Apr 27, 2022",2.22%,0.93,False
38,ABT,Abbott Laboratories Common Stock,118.09,+0.61,(+0.52%),Health Care,Medical/Dental Instruments,"207,191,531,550","2,489,735",$3.94,$1.88,"May 16, 2022",1.63%,0.76,False
39,MRK,"Merck & Company, Inc. Common Stock",77.7,-0.94,(-1.20%),Health Care,Biotechnology: Pharmaceutical Preparations,"196,645,035,879","5,375,355",$5.14,$2.76,"Apr 7, 2022",3.55%,0.44,False
40,ACN,Accenture plc Class A Ordinary Shares,320.81,+4.58,(+1.45%),Technology,EDP Services,"200,337,913,305","1,852,870",$9.61,$3.88,"Feb 15, 2022",1.26%,1.24,False
41,ADBE,Adobe Inc. Common Stock,435.325,+13.665,(+3.24%),Technology,Computer Software: Prepackaged Software,"203,491,055,807","2,564,899",$10.02,N/A,N/A,N/A,1.05,False
42,CRM,Salesforce.com Inc Common Stock,201.92,+5.78,(+2.95%),Technology,Computer Software: Prepackaged Software,"196,168,500,000","3,472,915",$1.50,N/A,N/A,N/A,1.1,False
43,NKE,"Nike, Inc. Common Stock",123.6,+4.20,(+3.52%),Consumer Non-Durables,Shoe Manufacturing,"193,582,167,321","6,195,008",$3.82,$1.22,"Apr 1, 2022",1.04%,0.97,False
44,SHEL,Royal Dutch Shell PLC American Depositary Shares,49.87,-0.48,(-0.95%),Energy,Oil & Gas Production,"188,665,554,078","3,133,538",$5.16,$1.92,"Mar 28, 2022",3.84%,0.8,False
45,DHR,Danaher Corporation Common Stock,275.18,+4.29,(+1.58%),Health Care,Medical Specialities,"194,554,442,814","2,025,336",$8.62,$1.00,"Apr 29, 2022",0.31%,0.77,False
46,AZN,AstraZeneca PLC American Depositary Shares,61.55,+0.18,(+0.29%),Health Care,Biotechnology: Pharmaceutical Preparations,"190,332,950,653","3,784,330",$0.14,$1.93,"Mar 28, 2022",3.2%,0.46,False
47,INTC,Intel Corporation Common Stock,46.08,+1.27,(+2.83%),Technology,Semiconductors,"186,538,320,000","22,317,842",$4.86,$1.46,"Mar 1, 2022",3.29%,0.55,False
48,WFC,Wells Fargo & Company Common Stock,51.059,+0.949,(+1.89%),Finance,Major Banks,"193,462,844,210","20,396,596",$4.98,$1.00,"Mar 1, 2022",2.01%,1.18,False
49,NVS,Novartis AG Common Stock,84.05,-0.68,(-0.80%),Health Care,Biotechnology: Pharmaceutical Preparations,"187,109,172,447","1,910,865",$10.65,$2.161,"Mar 17, 2022",2.57%,0.51,False
50,UPS,"United Parcel Service, Inc. Common Stock",215.3701,+4.8401,(+2.30%),Transportation,Air Freight/Delivery Services,"186,472,654,179","1,562,863",$14.69,$6.08,"Mar 10, 2022",2.98%,1.12,False
51,BHP,BHP Group Limited American Depositary Shares,66.2,+1.42,(+2.19%),Basic Industries,Precious Metals,"166,309,972,599","3,801,628",N/A,$6.00,"Mar 28, 2022",9.16%,0.88,False
52,QCOM,QUALCOMM Incorporated Common Stock,148.3323,+4.1223,(+2.86%),Technology,Computer peripheral equipment,"164,894,863,700","7,239,006",$8.73,$3.00,"Mar 24, 2022",2.12%,1.25,False
53,AMD,"Advanced Micro Devices, Inc. Common Stock",114.121,+4.791,(+4.38%),Technology,Semiconductors,"183,501,674,581","85,099,843",$2.58,N/A,N/A,N/A,1.85,False
54,MCD,McDonald's Corporation Common Stock,236.63,+4.06,(+1.75%),Consumer Services,Restaurants,"175,493,429,295","2,507,178",$10.04,$5.52,"Mar 15, 2022",2.44%,0.61,False
55,UNP,Union Pacific Corporation Common Stock,260.925,+0.795,(+0.31%),Transportation,Railroads,"166,307,055,652","2,277,621",$9.95,$4.72,"Mar 31, 2022",1.83%,1.17,False
56,T,AT&T Inc.,23.04,-0.05,(-0.22%),Consumer Services,Telecommunications Equipment,"164,393,676,434","23,247,989",$2.76,$2.08,"Feb 1, 2022",9.09%,0.68,False
57,TXN,Texas Instruments Incorporated Common Stock,174.635,+2.315,(+1.34%),Technology,Semiconductors,"160,235,415,257","2,865,770",$8.26,$4.60,"Feb 7, 2022",2.76%,0.94,False
58,NEE,"NextEra Energy, Inc. Common Stock",81.8001,-0.1799,(-0.22%),Public Utilities,Electric Utilities: Central,"159,335,638,938","5,227,781",$1.81,$1.70,"Mar 15, 2022",2.14%,0.37,False
59,TMUS,"T-Mobile US, Inc. Common Stock",127.3188,+1.0388,(+0.82%),Public Utilities,Telecommunications Equipment,"158,659,824,158","2,568,183",$2.41,N/A,N/A,N/A,0.5,False
60,RY,Royal Bank Of Canada Common Stock,110.475,+0.755,(+0.69%),N/A,N/A,"155,445,728,950","829,903",$8.99,$3.786,"May 24, 2022",3.5%,0.92,False
61,SCHW,Charles Schwab Corporation,88.19,+5.02,(+6.04%),Finance,Investment Bankers/Brokers/Service,"165,812,211,849","6,143,725",$2.82,$0.80,"Feb 25, 2022",0.96%,1.01,False
62,MS,Morgan Stanley Common Stock,91.16,+4.83,(+5.59%),Finance,Investment Bankers/Brokers/Service,"160,762,278,882","11,567,923",$8.03,$2.80,"Feb 15, 2022",3.3%,1.49,False
63,NFLX,"Netflix, Inc. Common Stock",351.76,+8.01,(+2.33%),Consumer Services,Movies/Entertainment,"154,774,418,362","4,832,163",$11.24,N/A,N/A,N/A,0.99,False
64,BMY,Bristol-Myers Squibb Company Common Stock,69.31,-0.44,(-0.63%),Health Care,Biotechnology: Pharmaceutical Preparations,"151,010,504,170","9,179,157",$3.12,$2.16,"May 2, 2022",3.12%,0.54,False
65,LOW,"Lowe's Companies, Inc. Common Stock",228.31,-2.76,(-1.19%),Consumer Services,RETAIL: Building Materials,"152,445,100,000","1,995,144",$11.97,$3.20,"Feb 2, 2022",1.41%,1.34,False
66,RTX,Raytheon Technologies Corporation Common Stock,95.145,-2.475,(-2.54%),Capital Goods,Military/Government/Technical,"141,053,901,883","5,748,692",$2.57,$2.04,"Mar 24, 2022",2.1%,1.02,False
67,LIN,Linde plc Ordinary Share,302.524,+8.424,(+2.86%),Basic Industries,Major Chemicals,"152,440,154,353","2,466,310",$7.32,$4.68,"Mar 25, 2022",1.64%,0.93,False
68,TD,Toronto Dominion Bank,79.21,+0.95,(+1.21%),N/A,N/A,"142,281,971,082","1,452,136",$6.36,$2.808,"Apr 30, 2022",3.65%,0.98,False
69,MDT,Medtronic plc. Ordinary Shares,106.24,+0.84,(+0.80%),Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"141,867,768,074","3,019,606",$3.63,$2.52,"Apr 22, 2022",2.44%,0.74,False
70,PM,Philip Morris International Inc Common Stock,93.3628,+0.7028,(+0.76%),Consumer Non-Durables,Farming/Seeds/Milling,"144,660,928,439","3,799,310",$5.83,$5.00,"Apr 12, 2022",5.58%,0.78,False
71,CVS,CVS Health Corporation Common Stock,105.84,-1.14,(-1.07%),Health Care,Managed Health Care,"139,204,855,782","3,000,683",$5.96,$2.20,"May 2, 2022",2.11%,0.82,False
72,SPGI,S&P Global Inc. Common Stock,388.78,+1.39,(+0.36%),Technology,Advertising,"137,158,378,071","1,045,766",$12.51,$3.40,"Jun 10, 2022",0.82%,1.04,False
73,TTE,TotalEnergies SE,49.79,+0.03,(+0.06%),Energy,Oil & Gas Production,"128,577,307,114","2,228,638",$5.91,$2.176,"Apr 12, 2022",4.45%,0.85,False
74,COP,ConocoPhillips Common Stock,94.53,-0.52,(-0.55%),Energy,Integrated oil Companies,"122,935,246,254","5,771,257",$6.06,$2.28,"Apr 14, 2022",1.91%,1.41,False
75,AXP,American Express Company Common Stock,178.21,+2.17,(+1.23%),Finance,Finance: Consumer Services,"134,664,014,636","2,918,169",$9.99,$2.08,"May 10, 2022",1%,1.12,False
76,AMGN,Amgen Inc. Common Stock,229.36,-2.20,(-0.95%),Health Care,Biotechnology: Pharmaceutical Preparations,"127,893,943,352","1,383,039",$10.31,$7.76,"Jun 8, 2022",3.39%,0.58,False
77,SAP,SAP SE ADS,113.09,+2.36,(+2.13%),Technology,Computer Software: Prepackaged Software,"132,160,069,254","640,992",$5.27,$1.634,"May 25, 2021",1.48%,1.16,False
78,SNY,Sanofi ADS,51.51,-0.32,(-0.62%),Health Care,Biotechnology: Pharmaceutical Preparations,"128,245,543,995","1,183,941",$2.94,$1.368,"May 26, 2021",2.72%,0.56,False
79,HSBC,"HSBC Holdings, plc. Common Stock",32.51,+0.96,(+3.04%),Finance,Savings Institutions,"130,559,275,460","3,564,275",$3.10,$1.24,"Apr 28, 2022",3.9%,0.58,False
80,HON,Honeywell International Inc. Common Stock,188.86,+1.07,(+0.57%),N/A,N/A,"129,062,495,229","2,053,629",$7.92,$3.92,"Mar 11, 2022",2.14%,1.15,False
81,INTU,Intuit Inc. Common Stock,451.78,+12.10,(+2.75%),Technology,Computer Software: Prepackaged Software,"126,213,551,343","1,353,619",$7.84,$2.72,"Apr 18, 2022",0.64%,1.14,False
82,SONY,Sony Group Corporation American Depositary Shares,101.82,+3.72,(+3.79%),Consumer Non-Durables,Consumer Electronics/Appliances,"125,050,900,491","613,020",$6.35,$0.39,"Dec 8, 2021",0.41%,0.79,False
83,LMT,Lockheed Martin Corporation Common Stock,418.965,-29.705,(-6.62%),Capital Goods,Aerospace,"111,640,472,707","3,637,093",$22.76,$11.20,"Mar 25, 2022",2.52%,0.8,False
84,DE,Deere & Company Common Stock,385.36,-3.11,(-0.80%),Capital Goods,Industrial Machinery/Components,"117,934,030,985","1,595,153",$18.04,$4.20,"May 9, 2022",1.07%,0.98,False
85,RIO,Rio Tinto Plc Common Stock,72.09,+3.01,(+4.36%),Basic Industries,Steel/Iron Ore,"115,876,644,310","4,740,419",N/A,$8.33,"Apr 21, 2022",12.01%,0.54,False
86,CAT,"Caterpillar, Inc. Common Stock",213.76,-2.70,(-1.25%),Capital Goods,Construction/Ag Equipment/Trucks,"114,441,572,731","2,891,696",$11.84,$4.44,"Feb 18, 2022",2.06%,0.94,False
87,CHTR,"Charter Communications, Inc. Class A Common Stock New",566.67,-2.49,(-0.44%),Consumer Services,Television Services,"115,696,320,293","708,705",$24.83,N/A,N/A,N/A,0.96,False
88,UL,Unilever PLC Common Stock,44.81,+0.42,(+0.95%),Consumer Non-Durables,Farming/Seeds/Milling,"114,494,030,179","3,084,905",N/A,$1.929,"Mar 22, 2022",4.35%,0.43,False
89,PYPL,"PayPal Holdings, Inc. Common Stock",105.965,+5.505,(+5.48%),Miscellaneous,Business Services,"122,675,017,339","18,422,880",$3.52,N/A,N/A,N/A,1.29,False
90,ANTM,"Anthem, Inc. Common Stock",464.0,-3.69,(-0.79%),Health Care,Medical Specialities,"111,883,183,731","900,831",$24.72,$5.12,"Mar 25, 2022",1.12%,1.04,False
91,IBM,International Business Machines Corporation Common Stock,125.53,-0.11,(-0.09%),Technology,EDP Services,"112,602,603,347","2,253,025",$6.35,$6.56,"Mar 10, 2022",5.29%,1.11,False
92,GS,"Goldman Sachs Group, Inc.",337.47,+8.31,(+2.52%),Finance,Investment Bankers/Brokers/Service,"113,484,671,015","1,921,879",$59.36,$8.00,"Mar 30, 2022",2.46%,1.48,False
93,PLD,"Prologis, Inc. Common Stock",152.9325,+1.0925,(+0.72%),Consumer Services,Real Estate Investment Trusts,"112,483,700,000","1,935,659",$3.94,$3.16,"Mar 31, 2022",1.69%,0.85,False
94,AMAT,"Applied Materials, Inc. Common Stock",128.36,+3.95,(+3.17%),Capital Goods,Industrial Machinery/Components,"112,928,753,677","4,785,808",$7.19,$1.04,"Jun 16, 2022",0.8%,1.41,False
95,C,"Citigroup, Inc. Common Stock",56.36,+1.25,(+2.27%),Finance,Major Banks,"111,276,754,885","18,470,022",$10.08,$2.04,"Feb 25, 2022",3.76%,1.7,False
96,AMT,American Tower Corporation,237.62,+1.41,(+0.60%),Finance,"Trusts, Except Educational, Religious, and Charitable","107,999,110,541","1,004,146",$5.67,$5.60,"Apr 29, 2022",2.37%,0.46,False
97,HDB,HDFC Bank Limited Common Stock,61.42,+1.31,(+2.18%),Finance,Commercial Banks,"112,852,157,985","912,015",$2.63,$0.211,"Aug 19, 2021",0.36%,0.76,False
98,BLK,"BlackRock, Inc. Common Stock",718.55,+10.88,(+1.54%),Finance,Investment Bankers/Brokers/Service,"108,821,307,668","748,664",$38.21,$19.52,"Mar 23, 2022",2.8%,1.23,False
99,EQNR,Equinor ASA,32.06,-0.13,(-0.40%),Energy,Integrated oil Companies,"103,453,875,648","3,627,037",$2.64,$0.80,"May 27, 2022",1.62%,0.98,False
100,GSK,GlaxoSmithKline PLC Common Stock,41.8365,+0.1365,(+0.33%),Health Care,Biotechnology: Pharmaceutical Preparations,"105,934,701,620","3,686,085",$2.40,$2.458,"Apr 7, 2022",6.03%,0.72,False
101,BA,Boeing Company,186.34,+6.45,(+3.59%),Capital Goods,Aerospace,"108,872,868,898","9,104,040",N/A,N/A,N/A,1.42,,True
102,NOW,"ServiceNow, Inc. Common Stock",536.365,+22.145,(+4.31%),Technology,Computer Software: Prepackaged Software,"104,998,000,000","999,139",$1.14,N/A,N/A,N/A,1.06,False
104,GE,General Electric Company Common Stock,93.7506,+1.4006,(+1.52%),Consumer Durables,Metal Fabrications,"102,499,233,227","3,475,841",$0.32,"Mar 7, 2022",0.35%,0.98,,True
105,INFY,Infosys Limited American Depositary Shares,24.72,+0.53,(+2.19%),Technology,EDP Services,"103,025,377,359","5,297,810",$0.68,$0.338,"Nov 12, 2021",1.37%,0.92,False
106,ISRG,"Intuitive Surgical, Inc. Common Stock",273.74,+3.74,(+1.39%),Health Care,Medical/Dental Instruments,"98,135,621,417","1,417,173",$4.67,N/A,N/A,N/A,1.17,False
107,BUD,Anheuser-Busch Inbev SA Sponsored ADR,59.35,+1.96,(+3.42%),Consumer Non-Durables,Beverages (Production/Distribution),"102,354,850,877","1,416,871",$2.33,$0.443,"Jun 3, 2021",0.78%,1.47,False
108,TGT,Target Corporation Common Stock,213.8069,-1.5431,(-0.72%),Consumer Services,Department/Specialty Retail Stores,"98,425,687,264","1,566,138",$14.07,$3.60,"Jun 10, 2022",1.72%,1.06,False
109,SBUX,Starbucks Corporation Common Stock,86.7,+3.58,(+4.31%),N/A,N/A,"99,708,004,000","16,969,898",$3.71,$1.96,"Feb 25, 2022",2.47%,0.9,False
110,EL,"Estee Lauder Companies, Inc.",269.985,+11.085,(+4.28%),Consumer Non-Durables,Package Goods/Cosmetics,"96,190,773,999","1,136,942",$8.85,$2.40,"Mar 15, 2022",0.96%,1.1,False
111,SYK,Stryker Corporation Common Stock,258.86,+4.52,(+1.78%),Health Care,Medical/Dental Instruments,"97,553,771,416","808,789",$5.21,$2.78,"Apr 29, 2022",1.13%,0.98,False
112,VALE,VALE S.A. American Depositary Shares Each Representing one common share,17.685,+0.445,(+2.58%),Basic Industries,Steel/Iron Ore,"84,734,896,545","39,432,958",$4.41,$1.443,"Mar 23, 2022",8.11%,0.89,False
113,BP,BP p.l.c. Common Stock,28.425,+0.375,(+1.34%),Energy,Integrated oil Companies,"92,231,630,537","13,207,315",$2.23,$1.29,"Mar 25, 2022",4.63%,0.78,False
114,MO,"Altria Group, Inc.",50.8,-0.74,(-1.44%),Consumer Non-Durables,Farming/Seeds/Milling,"92,498,942,867","5,765,269",$1.33,$3.60,"Apr 29, 2022",7.12%,0.58,False
115,BTI,"British American Tobacco Industries, p.l.c. Common Stock ADR",40.44,+0.03,(+0.07%),Consumer Non-Durables,Farming/Seeds/Milling,"92,331,484,918","2,831,161",N/A,$2.942,"May 9, 2022",7.33%,0.71,False
116,PTR,PetroChina Company Limited Common Stock,45.8,+1.04,(+2.32%),Energy,Oil & Gas Production,"83,530,774,268","180,385",$7.03,$3.582,"Nov 8, 2021",7.65%,0.66,False
117,ENB,Enbridge Inc Common Stock,43.83,-0.23,(-0.52%),Energy,Oil & Gas Production,"88,478,343,801","2,212,794",$2.26,$2.696,"Mar 1, 2022",6.14%,0.8,False
118,PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,13.12,+0.05,(+0.38%),Energy,Oil & Gas Production,"85,311,009,922","16,658,893",$3.04,$0.764,"Dec 22, 2021",5.67%,1.57,False
119,CNI,Canadian National Railway Company Common Stock,126.05,+2.47,(+2.00%),N/A,N/A,"87,688,439,000","785,644",$5.49,$2.293,"Mar 31, 2022",1.87%,0.8,False
120,ZTS,Zoetis Inc. Class A Common Stock,189.19,+0.08,(+0.04%),Health Care,Biotechnology: Pharmaceutical Preparations,"88,928,696,684","913,704",$4.27,$1.30,"Jun 1, 2022",0.7%,0.78,False
121,ADP,"Automatic Data Processing, Inc. Common Stock",210.346,-1.964,(-0.93%),Miscellaneous,Business Services,"87,919,674,417","853,808",$6.46,$4.16,"Apr 1, 2022",2.01%,0.82,False
122,BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,72.49,+0.57,(+0.79%),N/A,N/A,"87,034,827,909","1,121,563",$6.35,$3.155,"Apr 27, 2022",4.39%,0.94,False
123,ABNB,"Airbnb, Inc. Class A Common Stock",151.23,+7.28,(+5.06%),Transportation,Other Consumer Services,"89,549,310,901","4,119,339",N/A,N/A,N/A,-0.38,,True
124,CB,Chubb Limited Common Stock,208.21,+0.76,(+0.37%),Finance,Property-Casualty Insurers,"88,902,897,799","915,332",$19.26,$3.20,"Apr 8, 2022",1.56%,0.75,False
125,BAM,Brookfield Asset Management Inc. Common Stock,53.98,+1.19,(+2.25%),Miscellaneous,Other Consumer Services,"83,808,931,884","1,078,375",$2.39,$0.56,"Mar 31, 2022",1.07%,1.3,False
126,BKNG,Booking Holdings Inc. Common Stock,2185.21,+105.03,(+5.05%),Transportation,Other Consumer Services,"88,723,042,324","525,173",$28.12,N/A,N/A,N/A,1.21,False
127,MDLZ,"Mondelez International, Inc. Class A Common Stock",61.33,+0.16,(+0.26%),Consumer Non-Durables,Meat/Poultry/Fish,"85,007,326,134","8,258,358",$3.04,$1.40,"Apr 14, 2022",2.36%,0.71,False
128,DUK,Duke Energy Corporation,105.16,-1.53,(-1.43%),Public Utilities,Power Generation,"80,813,400,454","1,344,291",$4.93,$3.94,"Mar 16, 2022",3.71%,0.33,False
129,MU,"Micron Technology, Inc. Common Stock",77.87,+4.76,(+6.51%),Technology,Semiconductors,"87,275,427,953","25,937,751",$6.48,$0.40,"Jan 18, 2022",0.58%,1.17,False
130,BX,Blackstone Inc. Common Stock,113.535,+3.815,(+3.48%),Finance,Investment Managers,"78,569,447,538","3,741,796",$8.14,$5.80,"Feb 14, 2022",5.33%,1.33,False
131,CME,CME Group Inc. Class A Common Stock,239.996,+7.996,(+3.45%),Finance,Investment Bankers/Brokers/Service,"86,075,754,659","1,195,316",$7.31,$4.00,"Mar 25, 2022",1.74%,0.43,False
132,HCA,"HCA Healthcare, Inc. Common Stock",264.12,-3.05,(-1.14%),Health Care,Hospital/Nursing Management,"79,551,645,770","1,285,930",$21.25,$2.24,"Mar 31, 2022",0.73%,1.61,False
133,MMM,3M Company Common Stock,143.7211,-0.5889,(-0.41%),N/A,N/A,"82,041,370,500","2,307,256",$10.12,$5.96,"Mar 12, 2022",4.15%,0.97,False
134,DELL,Dell Technologies Inc. Class C Common Stock,51.4675,-0.6125,(-1.18%),Technology,Computer Manufacturing,"77,202,174,903","3,300,035",$7.05,$1.32,"Apr 29, 2022",N/A,0.56,False
135,USB,U.S. Bancorp Common Stock,55.74,+1.34,(+2.46%),Finance,Major Banks,"82,701,799,077","4,875,284",$5.10,$1.84,"Jan 18, 2022",3.41%,1.02,False
136,ADI,"Analog Devices, Inc. Common Stock",156.3665,+5.4465,(+3.61%),Technology,Semiconductors,"81,315,321,475","1,900,920",$3.18,$3.04,"Mar 8, 2022",2.09%,1.1,False
137,MUFG,"Mitsubishi UFJ Financial Group, Inc. Common Stock",6.375,+0.115,(+1.84%),Finance,Commercial Banks,"80,867,261,395","2,963,810",$0.87,$0.195,"Dec 16, 2021",3.15%,0.73,False
138,PNC,"PNC Financial Services Group, Inc.",191.0,+5.76,(+3.11%),Finance,Major Banks,"79,830,714,279","1,240,746",$12.69,$5.00,"Feb 5, 2022",2.73%,1.29,False
